tc,isim,sifre,maas,kira,fatura,aidat,ev,araba
3975088001,Merrily Giordano,7324,$13129.58,$4146.92,$530.72,$356.28,,true
2777289433,Stesha Wade,57,$14775.03,,$263.04,$142.34,false,true
0738131237,Abby McVey,75773,$14580.56,$4662.50,$419.50,$117.63,true,false
0463376021,Ellsworth Yair,3639,$12511.53,$3490.37,$411.79,$109.07,true,true
0221981519,Melody Aronstein,04223,$14937.78,$1995.21,$256.00,$237.16,,false
5780126925,Jessee Baldini,18,$4762.13,$3018.04,$334.03,$255.48,,true
5825010688,Amalle Robens,620,$9612.99,,$368.62,$158.57,false,false
9424115679,Foss Narrie,622,$12581.64,$2431.36,$515.53,$91.21,,false
3876520533,Lyssa Pattini,16942,$13364.41,,$337.43,$188.68,,false
2101934396,Lindsay Tulip,3,$8836.92,$1983.16,$553.73,$340.84,false,false
7112287081,Ambur Wight,431,$9591.53,,$256.86,$134.15,,false
8499529933,Micaela Crookshank,893,$13024.43,$3750.42,$455.35,$194.28,,true
0585358737,Garrik Kerbey,73425,$7251.37,,$471.99,$269.96,false,false
9607379721,Jack Kellington,6,$14303.04,$3904.20,$201.57,$48.38,,false
7466745245,Lucho Benediktovich,781,$7336.22,,$277.07,$389.41,true,true
2716694702,Reena Laminman,093,$6543.54,,$311.00,$184.54,,true
8287403901,Kinny Sabban,37,$13610.93,$923.07,$340.13,$32.64,false,true
4363462000,Darell Brumby,88,$7032.80,$1975.87,$562.03,$83.70,,false
8876214925,Corrianne Busk,164,$9961.24,$1095.09,$429.02,$72.78,true,true
1852447869,Jeremiah Taffie,678,$6606.64,$3314.85,$518.37,$379.29,,false
1184270163,Haywood Coucha,0288,$7094.13,$3671.18,$214.12,$135.01,false,false
7182050668,Mordecai Brabbs,92,$3367.05,$2560.20,$446.94,$193.85,,false
7668267522,Whitney Dresse,120,$5511.31,$1813.74,$578.51,$73.34,,true
5306509533,Kenn Bubear,86,$13782.58,$3396.47,$502.39,$166.69,,false
7637016781,Gabriello Auchterlonie,75899,$5951.36,$3460.89,$160.48,$343.58,true,true
5843102335,Deidre Wigfield,4,$3840.12,$3395.66,$220.81,$333.21,,false
6375614899,Querida Dundridge,7,$13426.88,$4569.29,$197.40,$193.85,,true
2057615251,Jo Amori,2743,$12101.42,,$317.21,$296.17,,false
5617546740,Clare Skettles,2912,$9644.34,$4857.54,$224.63,$33.95,false,false
3245674821,Reeva Sommerland,7217,$13758.50,$4289.59,$162.64,$79.09,,false
0022928014,Blithe Bessett,4,$10844.50,$4074.15,$458.23,$52.29,,true
3292052246,Una Chesson,1,$11678.37,$4517.19,$558.29,$81.68,true,true
2292427680,Baird Mose,695,$8124.81,$1535.61,$571.03,$304.71,,false
4966660394,Sherwynd Garrat,507,$4544.19,$1658.83,$437.25,$178.33,,false
9919460907,Lu Dobbing,1,$13880.05,$2258.84,$359.93,$363.77,false,true
1989277055,Clement Krinks,22,$14833.95,$1353.18,$512.17,$167.57,true,true
5902876710,Frans Camblin,28184,$8244.45,,$416.51,$372.77,true,true
5930926522,Lucienne Perkin,3806,$7563.63,$4442.56,$566.15,$133.06,,false
1514721805,Gearalt Barthropp,5725,$12563.62,$2856.66,$524.99,$184.58,,true
1984494880,Karlens Pedican,4,$9536.49,$1542.40,$220.24,$40.81,,false
3788849320,Phylis Cowdroy,672,$13431.58,$935.29,$463.73,$155.84,,true
1095448498,Bearnard Geldart,74904,$10611.43,$3126.66,$411.12,$172.56,,false
1085176355,Staci Cristofori,41,$8025.37,$2812.90,$240.78,$239.54,,true
8496377814,Hyatt Monk,889,$14975.30,$727.03,$308.55,$293.93,,true
3062108118,Mommy Lascelles,45,$10223.97,$4947.18,$182.03,$86.68,,false
0229392741,Eward Veevers,74631,$10671.02,$2840.41,$580.62,$198.12,true,true
5050643066,Travis Tombleson,06220,$5046.73,$1525.17,$209.25,$45.55,true,true
1508891524,Torie Enrigo,42,$7744.57,$1849.38,$361.43,$124.86,,false
6237079505,Shandy Vanetti,59133,$7734.24,$3946.69,$552.19,$83.60,,false
5153544117,Sybille Linggood,46,$13738.02,,$305.22,$111.42,,true
1001831403,Alyosha Bondy,939,$11218.85,$4071.58,$196.07,$163.84,,true
8758261206,Talbot Roswarn,2,$11690.80,$1205.92,$305.12,$298.64,,true
3406382940,Sibley Colcutt,00941,$6223.67,$4110.53,$548.42,$278.96,,true
2663593370,Darci Burcher,0,$10432.15,,$210.73,$215.86,true,false
3568983885,Shadow Fedorchenko,217,$11900.70,$1879.97,$150.50,$349.65,,true
3300252830,Hyacintha Mendes,395,$8155.88,$2652.63,$283.26,$107.33,,false
6382526533,Mala Jandourek,071,$3964.50,,$330.89,$69.52,,true
5246106373,Adelice Chattington,20,$3640.00,,$220.40,$371.52,,true
2554137439,Ingra Siveyer,45,$12999.98,,$163.26,$39.51,,false
1050705319,Isis Syddon,98177,$4538.07,$1422.52,$191.48,$234.43,,true
8668179993,Chic Quidenham,1,$8310.82,$1787.36,$189.62,$131.51,false,false
3957682517,Ban Greeve,9,$7094.19,$2200.06,$191.82,$157.52,,true
4306300048,Trudie Wilshin,72,$4523.87,$1308.46,$206.56,$132.06,,false
1680611585,Harri Gianulli,9,$6788.79,$2209.77,$295.07,$281.69,,false
6519824208,Brande Bourthoumieux,4822,$7833.27,,$381.45,$345.15,,true
4167278324,Elnore Heaphy,4610,$13862.82,$4132.36,$420.10,$96.99,,true
8116521608,Shirlene Kiehne,92,$10612.38,,$171.24,$71.90,,true
5798376699,Brannon Pritchitt,293,$4440.97,$4707.29,$444.35,$154.85,,true
7341379057,Sarette Bannell,945,$6973.41,$4362.22,$487.64,$151.00,,true
9028744509,Jonathan Hazlegrove,48,$13087.89,$3848.04,$249.76,$271.47,,false
7942328503,Viv Saul,5,$9014.36,$3042.62,$414.13,$386.00,,false
8137653996,Lela Kyte,61,$6421.93,,$590.97,$34.89,true,true
1716634571,Georgianne Kendal,31595,$9758.82,$2313.85,$548.26,$62.67,,true
1327701154,Keane Jozefowicz,123,$8247.29,$926.65,$227.18,$372.40,,true
3511123623,Mimi Longhurst,756,$5936.52,$4767.40,$592.48,$91.07,,false
3559322774,Sherry Autin,6539,$3273.01,$3917.99,$183.05,$171.86,false,true
3413912887,Reinaldo Stoeckle,08015,$11003.16,$3336.94,$487.79,$136.43,,true
1818454971,Karena Danaher,7,$9044.87,$4050.89,$520.85,$45.85,false,false
3993052277,Sharity Mussared,7376,$12345.83,$2076.13,$297.57,$246.34,,false
0473267705,Adams Ribou,2,$5782.18,$3719.27,$330.49,$314.82,false,false
4811727045,Lidia Jurisch,5,$11889.40,$3995.89,$171.73,$219.74,,true
0966561325,Eden Joslow,86661,$10691.10,$722.16,$224.38,$307.42,,true
7841919484,Astrid Olivelli,037,$9019.22,$3712.96,$392.79,$252.69,,false
1434323773,Matthieu Matfield,16,$3417.05,$2240.53,$332.23,$195.29,,true
5550294095,Antoinette Kesterton,490,$14470.65,$4668.26,$433.94,$191.34,,true
3226039318,Serena Willmore,01477,$10014.23,$3158.07,$539.91,$270.32,false,true
3182639226,Terese Melly,661,$11192.74,,$341.28,$145.34,true,false
8103007064,Jarib Vedenichev,5817,$11024.86,$2318.71,$333.17,$355.29,,false
0463598431,Fernandina Elis,32,$10611.17,$1503.00,$419.27,$312.62,,true
9920827029,Amalle Steinham,2,$7524.99,$1933.13,$506.24,$277.15,false,false
6108930411,Alena Sleigh,9,$12776.78,$1719.04,$156.17,$394.59,,false
1213773199,Sanford Harnes,5,$13389.75,$3863.06,$256.24,$201.07,,false
6203295957,Rutter Sondland,2410,$4097.77,$2158.04,$517.87,$171.16,,true
7314535310,Arte Cordet,757,$7743.19,$5000.00,$272.38,$70.03,,true
6102172124,Kelcy Rogge,87,$10541.28,$801.31,$515.42,$175.33,,true
1681313324,Allard Sheed,075,$4229.22,$4444.19,$240.99,$214.64,,true
7138227442,Klaus Hatto,67809,$11618.14,$4619.35,$346.58,$256.52,,false
0964361094,Cherrita Serrels,871,$9780.68,,$312.99,$228.95,,true
